埼玉	さいたま	[n.] Saitama (city)
洪水	こうずい	[n.] flood
訪れる	おとずれる,おとづれる	[v1.; vt.] to visit; to call on // [v1.; vi.] to arrive; to come; to appear
洗車	せんしゃ	[n.; suru] car wash
洗車場	せんしゃじょう	[n.] car wash
井戸水	いどみず	[n.] well water
こびり付く	こびりつく	[v5ku.; us. kana] to stick to; to cling to
戦利品	せんりひん	[n.] spoils of war; booty
坂	さか	[n.] slope; hill
路上	ろじょう	[n.] (on the) road; (on the) way; (in the) street
着地	ちゃくち	[n.; suru] landing
拡大	かくだい	[n.; suru] magnification; enlargement; expansion; amplification
手打ち	てうち	[n.] making noodles by hand // [n.] striking a deal; coming to an agreement; reconciliation // [n.] killing with bare hands
促す	うながす	[v5su.; vt.] to urge; to press; to prompt; to suggest; to demand; to stimulate; to quicken; to incite; to invite (attention to)
注意を促す	ちゅういをうながす	[phrase; v5su.] to call a person's attention (to)
音変化	おんぺんか	[n.] phonetic change; change in sound; shift in sound
辿り着く	たどりつく	[v5ku.; vi.] to struggle on to; to arrive somewhere after a struggle; to grope along to; to barely manage to reach; to finally arrive at; to finally hit on (e.g. an idea)
我が家	わがや,わがいえ	[phrase; n.] one's house; one's home; one's family
鍵盤楽器	けんばんがっき	[n.] keyboard (keyed) instrument
様式	ようしき	[n.] style; form; pattern
追記	ついき	[n.; suru] PS; postscript // [n.] appending; addition (esp. of data, information)
磁石	じしゃく,じせき	[n.; no-n.] magnet // [n.] compass
月給	げっきゅう	[n.] monthly salary
髪の毛	かみのけ	[phrase; n.] hair (head)
乾かす	かわかす	[v5su.; vt.] to dry (clothes, etc.); to desiccate
乾く	かわく	[v5ku.; vi.] to get dry
雨乞い	あまごい	[n.; suru] praying for rain
人数	にんずう,ひとかず,にんず	[n.] the number of people // [n.] many people; a large number of people
体重	たいじゅう	[n.] body weight; one's weight
増やす	ふやす	[v5su.; vt.] to increase; to add to; to augment
減らす	へらす	[v5su.; vt.] to abate; to decrease; to diminish; to shorten
減る	へる	[v5ru.; vi.] to decrease (in size or number); to diminish; to abate
他動詞	たどうし	[n.] transitive verb (direct obj.)
自動詞	じどうし	[n.] intransitive verb (no direct obj.)
焼ける	やける	[v1.; vi.] to burn; to be roasted; to be heated; to be sunburnt; to fade (in the sun); to glow red (i.e. of the sky at sunset) // [n.] to be jealous; to be envious
記憶	きおく	[n.; suru] memory; recollection; remembrance // [n.] storage
絡む	からむ	[v5mu.; vi.] to entangle; to entwine // [n.] to pick a quarrel; to find fault // [n.] to be involved with; to be influenced by; to develop a connection with
絡み	からみ	[n.] linkage; entanglement; involvement; relationship
絡み	がらみ	[suffix; us. kana] about; concerning; related to; -ish
遠ざかる	とおざかる	[v5ru.; vi.] to go away; to become more distant; to fade away; to die away // [n.] to be estranged
正直	しょうじき	[adjn..; n.] honesty; integrity; frankness // [adv.] honestly; frankly
何事	なにごと	[n.] what; something; everything // [n.] nothing (with neg. verb) // [n.] something or other; unspecified matter
本動詞	ほんどうし	[n.] main verb
助動詞	じょどうし	[n.] auxiliary verb
予告編	よこくへん	[n.] trailer (film, TV); preview
病人	びょうにん	[n.] sick person; patient; invalid
立ち上げる	たちあげる	[v1.; vt.] to start (something); to start up; to boot (a computer); to launch (a business)
立ち上がる	たちあがる	[v5ru.; vi.] to stand up; to get up // [n.] to rise // [n.] to recover // [n.] to take action; to start // [n.] to make the initial charge // [n.] to start up; to boot up
殖やす	ふやす	[v5su.; vt.] to increase; to add to; to augment
離す	はなす	[v5su.; vt.] to separate; to part; to divide; to keep apart
離れる	はなれる	[v1.; vi.] to be separated; to be apart; to be distant // [n.] to leave; to go away // [n.] to leave (a job, etc.); to quit; to give up // [n.] to lose connection with; to drift away from
出産	しゅっさん	[n.; suru] childbirth; (giving) birth; delivery; parturition; confinement // [n.] production (of goods)
生物	せいぶつ	[n.; no-n.] living things; creature // [n.; abbr.] biology
生物	なまもの	[n.] raw food; perishables
この世	このよ	[n.; no-n.] this world; the present life (in contrast to the land of the dead)
強調	きょうちょう	[n.; suru] emphasis; highlight; stress; stressed point
縞馬	しまうま,シマウマ,まだらうま	[n.; no-n.; us. kana] zebra
誕生	たんじょう	[n.; suru] birth; creation; formation
抽象	ちゅうしょう	[adjn..; n.; no-n.] abstract
傑作	けっさく	[adjn..; n.] masterpiece; best work // [n.] amusing blunder; funny mistake; boner
利益	りえき,りやく	[n.; suru] profit; gains // [n.] benefit; advantage; interest (of the public, etc.) // [n.] grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle
誤解	ごかい	[n.; suru] misunderstanding
発言	はつげん	[n.; suru] statement; remark; observation; utterance; speech; proposal
産む	うむ	[v5mu.; vt.] to give birth; to bear (child); to lay (eggs) // [n.] to produce; to yield; to give rise to; to deliver
生む	うむ	[v5mu.; vt.] to give birth; to bear (child); to lay (eggs) // [n.] to produce; to yield; to give rise to; to deliver
生まれる	うまれる	[v1.; vi.] to be born
産まれる	うまれる	[v1.; vi.] to be born
貴重	きちょう	[adjn..; n.] precious; valuable
有意義	ゆういぎ	[adjn..] significant; useful; meaningful; worthwhile; valuable; of interest
韻文	いんぶん	[n.; no-n.] verse; poetry
宅配	たくはい	[n.; suru; no-n.] home delivery
無用	むよう	[adjn..; n.] useless; futile // [n.] unnecessary; needless // [n.] not on business; unrelated; unauthorised; unauthorized // [n.] prohibited; banned; forbidden
母音	ぼいん	[n.; no-n.] vowel
子音	しいん	[n.; no-n.] consonant
鍾乳洞	しょうにゅうどう	[n.] limestone cave; limestone cavern; limestone grotto
菊	きく	[n.] chrysanthemum (Chrysanthemum morifolium)
低音	ていおん	[n.] low tone; bass; low voice
高音	こうおん,たかね	[n.] high-pitched tone; soprano
上司	じょうし	[n.] superior authorities; boss
休業	きゅうぎょう	[n.; suru] closed (e.g. store); business suspended; shutdown; holiday
商品	しょうひん	[n.] commodity; article of commerce; goods; stock; merchandise
溺れる	おぼれる	[v1.; vi.; us. kana] to drown; to nearly drown; to sink below the surface (of water) // [n.] to indulge in; to lose one's head over something; to wallow in
語源	ごげん	[n.] word root; word derivation; etymology
婉曲	えんきょく	[adjn..; n.] euphemistic; circumlocution; roundabout; indirect
そびれる		[v1.; vi.] to miss a chance; to fail to do
ややこしい		[adj.] puzzling; tangled; complicated; complex
禁断	きんだん	[n.; suru] prohibition; interdiction // [no-n.] forbidden; prohibited
掘り下げる	ほりさげる	[v1.; vt.] to dig down; to delve into; to get to the bottom of (a matter); to investigate further
喉ちんこ	のどちんこ,ノドチンコ	[n.; us. kana; coll.] uvula
口蓋垂	こうがいすい	[n.] uvula
奥	おく	[n.] interior; inner part; inside
空気	くうき	[n.] air; atmosphere // [n.] mood; situation // [coll.] someone with no presence; someone who doesn't stand out at all
呼気	こき	[n.; no-n.] exhalation
塞ぐ	ふさぐ	[v5gu.; vt.] to stop up; to close up; to block (up); to plug up; to shut up; to cover (ears, eyes, etc.); to close (eyes, mouth) // [n.] to stand in the way; to obstruct // [n.] to occupy; to fill up; to take up // [n.] to perform one's role; to do one's duty // [v5gu.] to feel depressed; to mope
記号	きごう	[n.; no-n.] symbol; code; sign; notation
大文字	おおもじ,だいもんじ	[n.] upper case letters; large characters; capital letter // [n.] the (kanji) character "dai" meaning "big" // [n.] huge character "dai" formed by fires lit on the side of a mountain in Kyoto on 16 Aug each year
置き換える	おきかえる	[v1.; vt.] to replace; to move; to change the position of
歯茎	はぐき	[n.; no-n.] gums; teethridge
根本	こんげん,ねもと,こんぽん	[n.; no-n.] root; source; origin; foundation; base; principle
根本	ねほん	[n.; arch.] kabuki script // [abbr.] illustrated kabuki script
舌	した	[n.] tongue // [n.] tongue-like object; clapper (of a bell); talon (of a lock)
くっ付ける	くっつける	[v1.; us. kana] to attach; to stick together; to paste; to glue // [us. kana] to place together; to put side-by-side // [us. kana; coll.] to make someone get married; to get someone hitched
無理やり	むりやり	[adv.; n.; yojijukugo] forcibly; against one's will
用意	ようい	[n.; suru] preparation; arrangements; provision; getting ready; laying out (e.g. a meal)
因みに	ちなみに	[conj.; us. kana] by the way; in this connection; incidentally; in passing
合わせる	あわせる	[v1.; vt.] to match (rhythm, speed, etc.) // [n.] to join together; to unite; to combine; to add up // [n.] to face; to be opposite (someone) // [n.] to compare; to check with // [n.] to cause to meet (e.g. an unpleasant fate) // [n.] to place together; to connect; to overlap // [n.] to mix; to combine // [n.] to put blade to blade; to fight
あくまで		[adv.; us. kana] to the end; to the bitter end; to the last; stubbornly; persistently; consistently; to the utmost // [us. kana] after all; it must be remembered; only; purely; simply
其々	それぞれ	[advn.; no-n.; us. kana] each; respectively
其々	そそ	[interj.; us. kana; arch.] come on; hurry up; chop chop // [us. kana; arch.] yeah; that's right; exactly
前歯	ぜんし,まえば	[n.] front tooth
唇	くちびる	[n.] lips
唇音	しんおん	[n.] labial sound
息	いき,おき	[n.] breath; breathing // [n.] tone; mood
息	むすこ,そく	[n.] son // [vulg.] penis
鼻音	びおん	[n.] nasal voice // [n.] nasal stop; nasal occlusive; nasal
昆布	こんぶ,コンブ,こぶ	[n.] kombu (usu. Saccharina japonica); konbu; kelp; any edible species from the family Laminariaceae
当てる	あてる	[v1.; vt.] to hit // [n.] to expose // [n.] to apply (e.g. patch); to put on; to put against; to hold on; to hold against // [n.] to allot; to call on someone (e.g. in class) // [n.] to guess (an answer) // [n.] to make a hit (e.g. in a lottery)
仙台	せんだい	[n.] Sendai (city)
信頼	しんらい	[n.; suru] reliance; trust; faith; confidence
破る	やぶる	[v5ru.; vt.] to tear; to break; to destroy // [n.] to break through (opponent's defense etc.); to breach // [n.] to defeat; to beat // [n.] to shatter (dream, peace, etc.); to disturb // [n.] to violate (a rule etc.); to break (a promise etc.) // [n.] to break (a record)
貫通	かんつう	[n.; suru; no-n.] pierce; penetrate; perforate
洗剤	せんざい	[n.] detergent; washing material
感知	かんち	[n.; suru] perception; sensing; noticing
新人	しんじん	[n.; no-n.] new face; newcomer; rookie; fresh recruit // [n.] modern humans (from Cro-Magnon man onwards)
口蓋	こうがい	[n.; no-n.] palate
合体	がったい	[n.; suru] union; coalescence; amalgamation; combination; alliance; annexation; incorporation // [n.] copulation; penetration
カンニング		[n.; suru] cheating
軟口蓋	なんこうがい	[n.] soft palate
満開	まんかい	[n.; suru; no-n.] full bloom
進学	しんがく	[n.; suru] entering a higher-level school, esp. going on to university
半額	はんがく	[advn.; n.] half; half amount; half fare
鼻濁音	びだくおん	[n.] nasal sound
衝撃	しょうげき	[n.; suru] shock; crash; impact; ballistic
調音	ちょうおん	[n.; suru] articulation
其れと	それと	[conj.; us. kana] and then; even so; and
語末	ごまつ	[n.] end of a word; suffix
通常	つうじょう	[no-n.; advn.; tempn.] common; general; normal; usual
系	けい	[n.; sufn.] system; lineage; group // [n.] corollary // [n.] system (range of strata that correspond to a particular time period) // [n.] (taxonomical) series
実用	じつよう	[n.] practical use; utility
恋愛	れんあい	[n.; suru; no-n.] love; love-making; passion; emotion; affections
簡易	かんい	[adjn..; n.; no-n.] simplicity; convenience; easiness; quasi-
卵黄	らんおう	[n.; no-n.] egg yolk
半母音	はんぼいん	[n.] semivowel
談話	だんわ	[n.; suru] a talk; conversation
摩擦音	まさつおん	[n.] fricative sound
国産	こくさん	[no-n.] domestic; domestically-produced; produced within a country
紳士	しんし	[n.] gentleman
焼く	やく	[v5ku.; vt.] to burn // [n.] to roast; to broil; to grill; to bake; to toast; to barbecue // [n.] to heat; to heat up // [n.] to make (charcoal, pottery, bricks, etc.); to bake; to fire; to burn // [n.] to tan (i.e. suntan); to burn // [n.] to print (a photo); to burn (an optical disc) // [n.] to be jealous of; to be envious of; to envy
集める	あつめる	[v1.; vt.] to collect; to assemble; to gather
消える	きえる	[v1.; vi.] to go out; to vanish; to disappear
消す	けす	[v5su.; vt.] to erase; to delete; to cross out // [n.] to turn off power // [n.] to extinguish; to put out // [slang] to bump off
沸く	わく	[v5ku.; vi.] to grow hot (e.g. water); to boil // [n.] to be in a state of excitement; to get excited; to take place energetically; to erupt (e.g. in applause, cheers)
回す	まわす	[v5su.; vt.] to turn; to rotate; to gyrate // [n.] to circulate; to send around // [n.] to surround // [n.] to put something to a new use (e.g. leftovers) // [suffix; v5su.] ... around (e.g. to chase someone around) // [n.] to dial (e.g. telephone number) // [v5su.] to invest // [n.] to gang-rape
回る	めぐる	[v5ru.; vi.; us. kana] to go around // [us. kana] to return // [us. kana] to surround // [us. kana] to concern (usu. of disputes)
回る	まわる	[v5ru.; vi.] to turn; to revolve // [n.] to visit several places // [n.] to function well // [n.] to pass a certain time
回る	もとおる	[v5ru.; vi.] to wander around
回る	みる	[v1.; arch.] to go around
曲げる	まげる	[v1.; vt.] to bend; to crook; to bow; to curve; to curl // [n.] to lean; to tilt; to incline; to slant // [n.] to bend (the truth); to distort; to twist; to pervert // [n.] to yield (a point); to depart (from a principle); to ignore (what one really thinks) // [n.] to pawn
敵	かたき	[sufn.; n.] rival; opponent; adversary; competitor; enemy (esp. one with which there is longstanding enmity); foe // [n.] revenge // [arch.] spouse
敵	てき	[n.] opponent; rival; adversary // [n.] menace; danger; threat; enemy
現れる	あらわれる	[v1.; vi.] to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise // [n.] to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)
表れる	あらわれる	[v1.; vi.] to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise // [n.] to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)
姿を現す	すがたをあらわす	[phrase; v5su.] to make an appearance; to show up
起こす	おこす	[v5su.; vt.] to raise; to raise up; to set up; to pick up // [n.] to wake; to wake up; to waken; to awaken // [n.] to cause; to bring about; to lead to; to trigger; to give rise to; to create; to generate (e.g. heat, electricity); to produce // [n.] to start; to begin; to launch; to establish; to found; to set up; to open // [n.] to plough; to plow; to till // [n.] to fall ill with // [n.] to transcribe; to write down (what is spoken) // [n.] to turn over (a card)
起きる	おきる	[v1.; vi.] to get up; to rise; to blaze up (fire) // [n.] to wake up; to be awake; to stay awake // [n.] to occur (usu. of unfavourable incidents); to happen; to take place
折る	おる	[v5ru.; vt.] to break; to fracture; to break off; to snap off; to pick (e.g. flowers) // [n.] to fold; to bend // [n.] to make (origami) // [n.] to interrupt; to end
折れる	おれる	[v1.; vi.] to break; to be broken; to snap; to fracture // [n.] to be folded // [n.] to give in; to back down; to yield; to submit // [n.] to turn (a corner)
並べる	ならべる	[v1.; vt.] to line up; to set up; to arrange in a line // [n.] to enumerate; to itemize // [n.] to be equal (to); to compare well (with); to be as good (as)
無くす	なくす	[v5su.; vt.; us. kana] to lose something // [us. kana] to get rid of // [n.] to lose someone (wife, child, etc.)
無くなる	なくなる	[v5ru.; vi.; us. kana] to be lost (e.g. luggage); to be missing // [us. kana] to be used up; to be run out; to be exhausted; to be consumed; to be reduced to zero; to not occur any more // [us. kana] to disappear (e.g. pain); to be lost (e.g. a dream, confidence)
計画を立てる	けいかくをたてる	[phrase; v1.] to make plans
割る	わる	[v5ru.; vt.] to divide; to cut; to break; to halve; to separate; to split; to rip; to crack; to smash; to dilute
割れる	われる	[v1.; vi.] to break; to be smashed // [n.] to split; to crack; to fissure; to be torn // [n.] to be divided; to cleave // [n.] to come to light; to be identified; to be established; to become clear
涙腺	るいせん	[n.] tear gland; lacrimal gland
緩い	ぬるい,ぬくい	[adj.; us. kana] lukewarm; tepid // [us. kana] lenient // [us. kana; arch.] slow; stupid
緩い	ゆるい	[adj.] loose // [n.] lenient; lax // [n.] gentle (curve, slope, etc.) // [n.] slow; weak // [n.] soft; not firm // [n.] difficult; hard
安心	あんしん	[adjn..; n.; suru] relief; peace of mind
安心	あんじん	[n.] obtaining peace of mind through faith or ascetic practice
詳細情報	しょうさいじょうほう	[n.] detailed information
平方	へいほう	[n.] square (e.g. metre); square
煙	けむり,けぶり,けむ,けぶ	[n.] smoke; fumes
脱線	だっせん	[n.; suru] derailment // [n.] digression; deviation
両	りょう	[n.; pref.] both (e.g. both shoulders, etc.) // [n.] ryo (obsolete unit of currency) // [n.] 41-42 g (one sixteenth of a kin) // [n.] 2 tan (measure of fabric size) // [cnt.] counter for carriages (e.g. in a train); counter for vehicles
両	もろ,モロ	[pref.; us. kana] both // [us. kana] many; various; all // [us. kana] together
倒れる	たおれる	[v1.; vi.] to fall; to collapse; to drop; to fall senseless // [n.] to be forced to bed (by illness, etc.) // [n.] to die // [n.] to go bankrupt; to be ruined; to have a bad debt // [n.] to be defeated (in a game) // [n.] to fall (of governments, dictators, etc.)
線路	せんろ	[n.] railway track; railway line; railroad; railway; track; line
逮捕する		
原因	げんいん	[n.; suru] cause; origin; source
同期	どうき	[advn.; suru; no-n.] contemporary; corresponding period; same period; same class // [n.] employee who joined the company in the same year as oneself; classmate; one's contemporary // [advn.; suru; no-n.] synchronous; synchronization
道具	どうぐ	[n.] tool; implement; instrument; utensil; apparatus; device // [n.] means
跳ねる	はねる	[v1.; vi.] to jump; to leap; to prance; to spring up; to bound; to hop // [n.] to break up; to close; to come to an end // [n.] to hit (e.g. to have a car hit something or someone)
撥ねる	はねる	[v1.; vt.; us. kana] to hit (e.g. to have a car hit someone); to run into // [us. kana] to reject; to deny; to refuse // [us. kana] to eliminate; to exclude; to leave out // [us. kana] to flip; to splash; to splatter // [us. kana] to decapitate; to behead // [us. kana] to jump up // [us. kana] to point or curl up (e.g. ends of hair)
平均	へいきん,へいぎん	[n.; suru] average; mean // [n.] balance; equilibrium
国連	こくれん	[n.; abbr.] United Nations; UN
気象	きしょう	[n.; no-n.] weather; climate // [n.; obscure] disposition; temperament
お祝い	おいわい	[n.; suru; sonkeigo] congratulation; congratulations; celebration; festival; congratulatory gift
大臣	だいじん	[n.] cabinet minister
大臣	おとど	[n.; sonkeigo] minister (of government); noble // [sonkeigo; arch.] nobleman's residence
総理大臣	そうりだいじん	[n.] prime minister (as the head of a cabinet government); premier
太平洋	たいへいよう	[n.] Pacific Ocean
成長	せいちょう	[n.; suru] growth; grow to adulthood
核兵器	かくへいき	[n.] nuclear weapons
実験	じっけん	[n.; suru] experiment
資料館	しりょうかん	[n.] museum; reference library; archive; record office
世界大戦	せかいたいせん	[n.] the World War
第二次世界大戦	だいにじせかいたいせん	[n.] Second World War; World War II; WWII; WW2
原爆	げんばく	[n.; abbr.] atomic bomb; A-bomb
地球	ちきゅう	[n.; no-n.] the earth; the globe
満月	まんげつ	[n.; no-n.] full moon
気象庁	きしょうちょう	[n.] (Japanese) Meteorological Agency; JMA
東北地方	とうほくちほう	[n.] Tohoku region (northernmost six prefectures of Honshu)
沖縄県	おきなわけん	[n.] Okinawa prefecture
国立	こくりつ	[n.; no-n.] national
天文台	てんもんだい	[n.] astronomical observatory
首相	しゅしょう	[n.] Prime Minister; Chancellor (Germany, Austria, etc.); Premier
様子	ようす	[n.] state; state of affairs; situation; circumstances // [n.] appearance; look; aspect // [n.] sign; indication
崩れる	くずれる	[v1.; vi.] to collapse; to crumble // [n.] to get out of shape; to lose one's shape; to become disorganized; to become untidy // [n.] to break down; to be thrown into disarray // [n.] to crash (stock market); to slump; to decline // [n.] to break money into small change // [n.] to turn bad (e.g. weather); to change for the worse; to deteriorate
洋式	ようしき	[n.] Western style; foreign style
和式	わしき	[n.] Japanese style
環境省	かんきょうしょう	[n.] Ministry of the Environment
文部科学省	もんぶかがくしょう	[n.] Ministry of Education, Culture, Sports, Science and Technology; MEXT
差別	さべつ,しゃべつ,しゃべち	[n.; suru] discrimination; distinction; differentiation
珊瑚	さんご,サンゴ	[n.; us. kana] coral
礁		
温度	おんど	[n.] temperature
石垣	いしがき,いしがけ	[n.] stone wall
車いす	くるまいす	[n.] wheelchair; folding push-chair
障害	しょうがい,しょうげ	[n.; suru] obstacle; impediment; hindrance; difficulty; barrier // [n.] handicap; impairment; disability; disorder; malfunction
機械	きかい	[n.] machine; mechanism // [n.] instrument; appliance; apparatus
光線	こうせん	[n.] beam; light ray
戦う	たたかう	[v5u.; vi.] to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against) // [n.] to compete (against) // [n.] to struggle (against adversities, etc.); to fight; to contend; to resist
社会	しゃかい	[n.] society; public; community; the world // [abbr.] social studies
大震災	だいしんさい	[n.] great earthquake (disaster) // [abbr.] Great Kanto earthquake of 1923
東日本大震災	ひがしにほんだいしんさい	[n.] Great East Japan earthquake (March 11, 2011); Tohoku earthquake; Sendai earthquake
香り	かおり	[n.] aroma; fragrance; scent; smell
差	さ	[n.; sufn.] difference; variation // [n.] difference
差	さし,サシ	[n.] between (e.g. two people); face to face // [n.] hindrance; impediment // [us. kana] arrhythmic section of recitative in noh music // [pref.] prefix used for stress or emphasis // [cnt.] counter for traditional dance songs
福岡	ふくおか	[n.] Fukuoka (city)
穴	あな	[n.; sufn.] hole // [n.] deficit; shortage; missing person (in a team, meeting, etc.) // [n.] vacancy; opening // [n.] flaw // [n.] profitable place (or item, etc.) not well known by others // [n.] upset victory (with a large payoff) // [slang] pit (of a theater) // [arch.] hiding place // [arch.] underbelly (of society, etc.)
穴	けつ	[n.; coll.] ass; arse; buttocks // [coll.] rear; end // [n.] acupuncture point // [cnt.] hole; notch
水道	すいどう	[n.] water service; water supply
管	かん,くだ	[n.; sufn.] pipe; tube
情報学	じょうほうがく	[n.] informatics
研究所	けんきゅうしょ,けんきゅうじょ	[n.] research establishment; research institute; laboratory
入学試験	にゅうがくしけん	[n.] entrance examination
目標	めじるし	[n.] mark; sign; landmark; benchmark
目標	もくひょう	[n.] mark; objective; target
手続き	てつづき	[n.; suru] procedure; (legal) process; formalities
麻薬	まやく	[n.; no-n.] narcotic drugs; narcotic; opium; dope
犯罪	はんざい	[n.; no-n.] crime; offence; offense
書き込む	かきこむ	[v5mu.; vt.] to fill in (field, entry, etc.); to fill out (form) // [n.] to post a message (e.g. on a bulletin-board) // [n.] to store
卒論	そつろん	[n.; abbr.] graduation thesis; bachelor's degree thesis
制作	せいさく	[n.; suru] work (film, book) // [n.] production; creation; turning (something) out; development
母語話者	ぼごわしゃ	[n.] native speaker
回答	かいとう	[n.; suru] reply; answer
拡散	かくさん	[n.; suru; no-n.] scattering; diffusion; spread (e.g. signal across the spectrum)
関東地方	かんとうちほう	[n.] Kanto region (incl. Tokyo, Kanagawa, Saitama, Gunma, Tochigi, Ibaraki and Chiba prefectures)
都	みやこ	[n.] capital; metropolis
都	と	[n.; no-n.] metropolitan; municipal
流行	はやり,りゅうこう	[n.; suru; no-n.] fashion; fad; vogue; craze // [n.] prevalence (e.g. of a disease)
横綱	よこづな	[n.] yokozuna (grand champion)
相撲	すもう,すまい	[n.] sumo wrestling // [abbr.] wrestler; rikishi
大相撲	おおずもう	[n.] professional sumo wrestling
千代	せんだい,ちよ	[n.] thousand years // [n.] very long period; forever
駆ける	かける	[v1.; vi.] to run (race, esp. horse); to dash // [n.] to gallop (one's horse); to canter // [arch.] to advance (against one's enemy)
駆ける	かける	[v5ru.; vi.] to soar; to fly // [n.] to run; to dash
駆け付ける	かけつける	[v1.; vi.] to run to; to come running; to rush (someplace); to hasten
警護	けいご	[n.; suru] bodyguard; escort
戦争	せんそう	[n.; suru] war
自衛隊	じえいたい	[n.] self-defence force; self-defense force // [n.] Japan Self-Defence Force; JSDF
武器	ぶき	[n.] weapon; arms; ordnance // [n.] weapon (something used to gain an advantage); asset
襲う	おそう	[v5u.; vt.] to attack; to assail; to make an assault; to strike; to hunt down // [n.] to succeed (someone in a post, role, etc.) // [n.] to make a sudden visit
検察庁	けんさつちょう	[n.; abbr.] Public Prosecutor's Office
起訴	きそ	[n.; suru; no-n.] prosecution; indictment
秘書官	ひしょかん	[n.] minister's secretary
罪	つみ	[n.; adjn..; no-n.] crime; sin; wrongdoing; indiscretion // [n.] penalty; sentence; punishment // [n.] fault; responsibility; culpability // [n.; adjn..] thoughtlessness; lack of consideration
財団	ざいだん	[n.; no-n.] foundation
硬貨	こうか	[n.] coin // [n.] hard currency
行事	ぎょうじ	[n.] event; function
坊さん	ぼうさん	[n.; fam.; sonkeigo] Buddhist priest; monk // [fam.] boy
祈り	いのり	[n.] prayer; supplication
板	いた	[n.] board; plank // [n.] sheet (of metal); plate (of glass); pane; slab // [n.] cutting board; chopping board // [abbr.] chef (esp. of high-end Japanese cuisine); cook // [n.] stage (i.e. at a theatre)
流行語	りゅうこうご	[n.] buzzword; vogue word; popular phrase; word (phrase) in fashion or on everybody's lips
新語	しんご	[n.] new word; neologism; word of recent origin; recent word; modern term
大賞	たいしょう	[n.] big prize; first prize
解散	かいさん	[n.; suru] breakup; dissolution
警備	けいび	[n.; suru] defense; defence; guard; policing; security
端末	たんまつ	[n.; abbr.] terminal; computer terminal // [abbr.] information access device (smartphone, tablet, book-reader, etc.) // [n.] end (e.g. of a roll of film)
食料品	しょくりょうひん	[n.] foodstuff; groceries
賞金	しょうきん	[n.] prize; monetary award
直径	ちょっけい	[n.] diameter
量	りょう	[n.; sufn.] quantity; amount; volume; portion (of food)
量	はか	[n.; us. kana] progress
侍	さむらい,さぶらい	[n.] warrior (esp. of military retainers of daimyos in the Edo period); samurai // [arch.] man in attendance (on a person of high standing); retainer
甲	よろい	[n.] armor; armour
甲	かぶと	[n.] helmet (of armor, armour); headpiece
甲	こう	[n.] carapace; shell // [n.] 1st in rank; grade A // [n.] instep; back of hand // [n.] the A party (e.g. in a contract); the first party; plaintiff (label in legal documents)
甲	かん	[n.] treble range (in Japanese music); high note
甲	きのえ	[n.] first sign of the Chinese calendar
塊	かたまり	[n.] lump; mass; bundle; clump; clod; cluster // [n.] group; crowd // [n.] embodiment (of an idea, quality, feeling etc.); personification
辻斬り	つじぎり	[n.] killing a passerby in order to test a new sword
題	だい	[n.] title; subject; theme; topic // [n.] problem (on a test); question // [sufn.; cnt.] counter for questions (on a test)
未発表	みはっぴょう	[n.] unpublished; not yet announced
満載	まんさい	[n.; suru] fully loaded; full load; loaded condition
収録	しゅうろく	[n.; suru] compilation; editing // [n.] recording
詳細	しょうさい	[adjn..; n.] detail; particulars
追って	おって	[adv.; conj.] later on; shortly; presently; afterwards; in due course; by and by // [n.] P.S.
盛り	さかり	[n.; suffix] peak (e.g. of cherry blossom season); height (e.g. of summer) // [n.] prime (of one's life); one's best days // [n.] rutting; being in heat
盛り	もり	[n.; sufn.; cnt.] serving (of food); helping // [n.; abbr.] chilled soba served on a dish (often on a wicker basket or in a shallow steaming basket) with dipping sauce
後程	のちほど	[adv.; n.] later on; eventually; afterwards
沖	おき	[n.] open sea
弱	じゃく	[sufn.] little less than; fewer than; under // [n.] weakness; the weak
揺れる	ゆれる	[v1.; vi.] to shake; to sway; to waver
中国地方	ちゅうごくちほう	[n.] Chugoku region of western Honshu (incl. Okayama, Hiroshima, Shimane, Tottori and Yamaguchi prefectures)
警報	けいほう	[n.] alarm; warning
津波警報	つなみけいほう	[n.] tsunami warning
鉄道	てつどう	[n.] railroad; railway; rail transport
経営	けいえい	[n.; suru] management; administration; operation; running (business); conducting
区間	くかん	[n.; sufn.] section (of track, etc.); segment; dimension // [n.] interval
仏像	ぶつぞう	[n.] statue of Buddha; image of Buddha; Buddhist statue; Buddhist image
液体	えきたい	[n.] liquid; fluid
事件	じけん	[n.] event; affair; incident; case; plot; trouble; scandal
宝	たから	[n.] treasure
神宮	じんぐう	[n.; sufn.] high-status Shinto shrine with connection to imperial family; imperial Shinto shrine
厚生労働省	こうせいろうどうしょう	[n.] Ministry of Health, Labour and Welfare
文化庁	ぶんかちょう	[n.] (Japanese) Agency for Cultural Affairs
市町村	しちょうそん	[n.] cities, towns and villages; municipalities
栃木県	とちぎけん	[n.] Tochigi prefecture (Kanto area)
茨城県	いばらきけん	[n.] Ibaraki prefecture (Kanto area)
福島県	ふくしまけん	[n.] Fukushima prefecture (Tohoku area)
