大事	だいじ, おおごと	important; valuable; serious matter
優勝	ゆうしょう	victory; championship
監督	かんとく	director; supervisor; supervision; control
異常	いじょう	strangeness; abnormality; disorder
競技	きょうぎ	match; sporting event
組織	そしき	organization; construction; tissue; system
委員会	いいんかい	committee
水上	すいじょう	aquatic; on the water
水上競技	すいじょうきょうぎ	water sports
結果	けっか	result; outcome
練習	れんしゅう	practice
場所	ばしょ	place; space
水泳	すいえい	swimming
有明	ありあけ	dawn (sometimes esp. in ref. to the 16th day of the lunar month onward)
神奈川県	かながわけん	Kanagawa prefecture (Kantou area)
覆う	おおう	to cover; to hide; to conceal
原子	げんし	atom
核	かく	core; atomic nucleus
原子核	げんしかく	nucleus (atomic)
原子炉	げんしろ	atomic reactor; nuclear reactor
発電	はつでん	generation of electricity
発電機	はつでんき	dynamo; power generator
放射能	ほうしゃのう	radioactivity
式	しき	ceremony
料理	りょうり	cooking; cookery; cuisine
食事	しょくじ	meal
不正	ふせい	injustice; fraud
経済	けいざい	economy; economics
新聞社	しんぶんしゃ	newspaper office
警察	けいさつ	police
押切	おしきり	straw cutter; short mane; pressing and cutting
携帯電話	けいたいでんわ	cell phone
女優	じょゆう	actress
生産	せいさん	production
リーマンショック	リーマンショック	2008 world economic crisis (Lehman Brothers bankruptcy)
女給	じょきゅう	waitress; hostess
美人	びじん	beautiful woman
対策	たいさく	counter-measure; counter-plan
一覧	いちらん	at a glance; (a) look; (a) glance; (a) summary; (school) catalog; catalogue
一般的	いっぱんてき	common; commonplace; popular; typical; general
呼吸	こきゅう	breathing; respiration
困難	こんなん	difficulty; hardship
呼吸困難	こきゅうこんなん	labored breathing; laboured breathing; dyspnea; dyspnoea
服用	ふくよう	take (medicine)
体験	たいけん	personal experience
自ら	みずから	personally; oneself
思い込み	おもいこみ	wrong impression; subjective impression; assumption; prejudice
立場	たちば	standpoint; position
決めつける	きめつける	to fix upon (one-sidedly); to scold; to take (a person) to task
心中	しんちゅう	in one's heart; true motives; mind
察す	さっす	to guess; to sense; to presume; to judge; to sympathize with
察する	さっする	to guess; to sense; to presume; to judge; to sympathize with
皇太子	こうたいし	crown prince
国王	こくおう	king
希望	きぼう	hope; wish; aspiration
軍	ぐん	army; troops
資格	しかく	qualifications; competence
尊敬	そんけい	respect; esteem; honor
クーデター	クーデター	coup d'etat; coup
映画館	えいがかん	movie theater; cinema
北京	ぺきん	Beijing (China); Peking
売り上げ	うりあげ	sales; proceeds
無形	むけい	abstract; immaterial; moral; spiritual; intangible
文化遺産	ぶんかいさん	cultural heritage
屋台	やたい	street stall; stand
鉾	ほこ	long-handled Chinese spear; lance; pike; weapon; arms; grip of a bow
お祭り	おまつり	festival
飾り	かざり	ornament; decoration
山車	だし	float; a pageant
町	まち	town; block; city quarter
福岡県	ふくおかけん	Fukuoka prefecture (Kyuushuu)
博多祇園山笠	はかたぎおんやまかさ	festival held in July in Fukuoka City
岐阜県	ぎふけん	Gifu prefecture (Chuubu area)
京都府	きょうとふ	Kyoto prefecture (of the 府 kind, as it is a seat of the central government, together with Osaka, and a metropolitan area)
祇園祭	ぎおんまつり	Gion Festival (in Kyoto during the month of July, with high point on the 17th)
風流	ふうりゅう	elegance; taste; refinement
和紙	わし	Japanese paper
全部	ぜんぶ	all; wholly; all in all
布団	ふとん	futon; bedquilt
洗濯	せんたく	laundering; washing
輸入	ゆにゅう	import
庁	ちょう	public office; agency
細かく	こまかく	minutely; finely
洗濯機	せんたくき	washing machine
桶	おけ	bucket
四角形	しかくけい	square; quadrilateral; quadrangle
縦	たて	vertical; length; height
横	よこ	side; width across; horizontal
線	せん	line
印刷	いんさつ	printing
暖房	だんぼう	heating
背もたれ	せもたれ	back (of a chair)
必需品	ひつじゅひん	essential items; necessities
紅白	こうはく	red and white; colours for festive or auspicious occasions (colors)
社会人	しゃかいじん	member of society; working person
表彰	ひょうしょう	public acknowledgment; public acknowledgement; public recognition; commendation
抜く	ぬく	to extract; to omit
翌年	よくねん	the following year
編集	へんしゅう	editing; compilation
公休日	こうきゅうび	legal holiday
締め日	しめび	time limit; closing day; deadline
境	さかい	boundary; border
天皇	てんのう	emperor of Japan
天皇誕生日	てんのうたんじょうび	Emperor's Birthday Holiday (Dec 23rd) (Emperor Shouwa's was April 29th)
関東	かんとう	Kanto (region)
賑わう	にぎわう	bustle; enliven
時点	じてん	point in time; occasion
給油	きゅうゆ	supply of oil
陽射し	ひざし	sunlight; rays of the sun
絶好	ぜっこう	best; ideal; perfect
日和	ひより	weather
暮れる	くれる	to grow dark; to come to an end; to run out; to be sunk (e.g. in despair or grief); to be lost
導	ドウ, みちび.く	guidance; leading; conduct; usher
主導権	しゅどうけん	hegemony; leadership; initiative
目立つ	めだつ	stand out; be conspicuous
角度	かくど	angle
細かい	こまかい	minute; minor; trivial
触れ込み	ふれこみ	(exaggerated) professing to be; passing oneself off as
お札	おさつ	bill; note (currency)
偽	にせ	imitation; fake; phony; counterfeit; forged; bogus; sham
取り替える	とりかえる	to exchange; to replace
影響	えいきょう	influence; effect
宇宙旅行	うちゅうりょこう	space travel
旅行会社	りょこうがいしゃ	travel agency
愛知県	あいちけん	Aichi prefecture (Chuubu area)
名古屋	なごや	Nagoya (city)
乗り物	のりもの	vehicle; conveyance
滑走路	かっそうろ	runway
重力	じゅうりょく	gravity
布	ぬの	cloth
模様	もよう	pattern; design
拍手	はくしゅ	applause; clapping
憲法	けんぽう	constitution; constitutional law
投票	とうひょう	vote; ballot
上院	じょういん	Upper House; Senate; Lords
下院	かいん	lower house; lower (legislative) body
案	あん	plan; proposal
政党	せいとう	political party
運動	うんどう	motion; exercise
責任	せきにん	responsibility; liability
一挙	いっきょ	one effort; one action
話題	わだい	topic of conversation
恥	はじ	shame; disgrace
池袋	いけぶくろ	Ikebukuro (district in Tokyo)
家事	かじ	housework; domestic duties
代わりに	かわりに	instead of; in return; make up for
許可	きょか	permission; approval
大阪市	おおさかし	Osaka city
契約	けいやく	contract; agreement
時速	じそく	speed per hour
攻撃	こうげき	attack; criticism
真珠	しんじゅ	pearl
湾	わん	bay; gulf
基地	きち	base; military base
太平洋戦争	たいへいようせんそう	Pacific War (of World War II)
軍艦	ぐんかん	warship
上手い	うまい	good at
関係ない	かんけいない	have nothing to do with (something); have no connection with (something)
裁判	さいばん	trial; judgment
裁判所	さいばんしょ	courthouse
憲法裁判所	けんぽうさいばんしょ	constitutional court
固まる	かたまる	harden; solidify
凹む	へこむ	be dented; cave in; be snubbed; become depressed
細い	ほそい	thin; slender
掃除	そうじ	cleaning
棒	ぼう	rod; stick
パクチー	パクチー	coriander; cilantro; dhania; Chinese parsley (Coriandrum sativum)
独特	どくとく	peculiarity; uniqueness
味	あじ	taste; flavor
野菜	やさい	vegetable
ベトナム	ベトナム	Vietnam
美容	びよう	beauty treatment
温泉	おんせん	hot spring
地図	ちず	map; atlas
観光	かんこう	sightseeing
湯気	ゆげ	steam; vapor
両親	りょうしん	parents
大分県	おおいたけん	Ooita (Oita) prefecture (Kyuushuu)
群馬県	ぐんまけん	Gunma prefecture (Kantou area)
お土産	おみやげ	souvenir
包む	つつむ	wrap; pack
寺	てら	Buddhist temple
地蔵	じぞう	Ksitigarbha (bodhisattva who looks over children, travellers and the underworld) (travelers)
墓	はか	gravesite; tomb
打付ける	ぶつける	run into; strike hard; try (an idea) on someone
可能性が高い	かのうせいがたかい	very likely; very probable
謝る	あやまる	to apologize
病気	びょうき	illness
呼ばれる	よばれる	to be called (a name); to be referred to (as); to be invited to
多く	おおく	much; largely
新聞	しんぶん	newspaper
読解力	どっかいりょく	reading comprehension; ability to read and understand
学力	がくりょく	scholastic performance; academic ability
科学	かがく	science
文章	ぶんしょう	sentence; writing; prose
地域	ちいき	region; area
高校	こうこう	high school
意見を言う	いけんをいう	to state one's opinion
しっかり	しっかり	mature; reliable; level-headed
棚	たな	shelf; ledge; rack; mount; mantle; trellis
川崎	かわさき	Kawasaki (city)
倉庫	そうこ	warehouse; storehouse
箱	はこ	box; chest; case; bin; railway car
歩く	あるく	to walk; go on foot
速い	はやい	fast
交通	こうつう	traffic; transportation
機関	きかん	engine; agency; organization
交通事故	こうつうじこ	traffic accident
交通機関	こうつうきかん	means of transportation
遭う	あう	to meet; to encounter; to have a bad experience
抗生物質	こうせいぶっしつ	antibiotic
生死	せいし	life and death
文房具	ぶんぼうぐ	stationery; writing materials
放ったらかし	ほったらかし	neglecting; leaving alone
放ったらかしにする	ほったらかしにする	to neglect; to let alone
放ったらかす	ほったらかす	to let aside; to neglect
成功	せいこう	[n.; suru] success; hit
相反	そうはん	[n.] reciprocality
利益相反	りえきそうはん	[n.] conflict of interest
後悔	こうかい	[n.; suru; no-n.] regret; repentance; remorse
買い物	かいもの	[n.; no-n.] shopping; purchased goods
子ども	こども	[n.] child; children
多い	おおい	[adj.] many; numerous
入れる	いれる	[v1.; vt.] to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo) // [n.] to admit; to accept; to employ; to hire // [n.] to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to // [n.] to include // [n.] to pay (one's rent, etc.) // [n.] to cast (a vote) // [n.] to make (tea, coffee, etc.) // [n.] to turn on (a switch, etc.) // [n.] to send (a fax); to call
座る	すわる	[v5ru.; vi.] to sit; to squat // [n.] to assume (a position) // [n.] to hold steady; to hold still
国民生活	こくみんせいかつ	[n.] the life of the people; the people's living
病	やまい	[n.] illness; disease // [n.] bad habit; weakness; fault
院	いん	[n.] house of parliament (congress, diet, etc.) // [n.] graduate school; postgraduate school // [suffix] institution (often medical); institutional building; government office // [n.] sub-temple; minor temple building; temple; cloister // [n.; sonkeigo] imperial palace // [sonkeigo; arch.] title bestowed on empresses, princesses, etc. // [suffix] former (esp. of emperors, daimyos, etc.); late
病院	びょういん	[n.; no-n.] hospital
聞く	きく	[v5ku.; vt.] to hear // [n.] to listen (e.g. to music) // [n.] to ask; to enquire; to query // [n.] to learn of; to hear about // [n.] to follow (advice); to comply with // [n.] to smell (esp. incense); to sample fragrance
歳	さい	[suffix] -years-old // [n.] ability; gift; talent; aptitude; genius
今年	ことし,こんねん	[advn.; tempn.] this year
約	やく	[adv.] approximately; about // [n.] promise // [n.] shortening; reduction; simplification // [n.] contraction (in phonetics)
年	とし	[n.] year // [n.] age; years // [n.] past one's prime; old age
年	ねん	[n.] year (e.g. AD) // [cnt.] counter for years
半	はん	[n.; prefn.] half; semi- // [n.; sufn.] half-past // [n.] odd number // [arch.] unit of land area (595.8 m^2)
回	かい	[cnt.] counter for occurrences // [n.] counter for games, rounds, etc.; counter for innings (baseball) // [n.; prefn.] Islam // [n.; abbr.] Hui (people)
頭	とう	[cnt.] counter for large animals (e.g. head of cattle)
頭	あたま,かしら	[n.] head // [n.] hair (on one's head) // [n.] mind; brains; intellect // [n.] leader; chief; boss; captain // [n.] top; tip // [n.] beginning; start // [n.] head; person // [n.] top structural component of a kanji
顔	かお,がん	[n.] face; visage // [n.] look; expression; countenance // [n.] honor; honour; face // [n.] influence; notoriety
骨が折れる	ほねがおれる	[phrase; v1.] to require much effort; to be hard to do
強い	つよい	[adj.] strong; powerful; mighty; potent // [n.] resistant; resilient; durable
打つ	うつ	[v5tsu.; vt.] to hit; to strike; to knock; to beat; to punch; to slap; to tap; to bang; to clap; to pound // [n.] to strike (noon, etc.); to sound (cymbals, etc.); to beat (a drum, etc.) // [n.] to beat (rhythmically, e.g. pulse, waves, etc.) // [n.] to move; to impress; to touch // [n.] to drive in; to hammer in; to put in; to inject // [n.] to type; to send; to transmit // [n.] to insert; to write in; to mark // [n.] to make (noodles, etc.); to prepare // [n.] to till (soil) // [n.] to sprinkle; to throw; to cast // [n.] to do; to carry out; to play; to perform; to engage in (gambling, etc.) // [n.] to pay (a deposit, etc.) // [n.] to visit (on a pilgrimage) // [n.] to line (a coat) // [n.] to bind (a criminal)
打つ	ぶつ	[v5tsu.; vt.; us. kana] to hit (a person); to strike; to beat
床	とこ	[n.] bed; bedding // [n.] sickbed // [abbr.] alcove // [n.] riverbed // [n.] seedbed // [n.] straw "core" of a tatami mat // [n.] floor
床	ゆか	[n.] floor // [n.] stage (for the narrator and the shamisen player) // [n.] dining platform built across a river
床	しょう	[cnt.] counter for beds
コンクリート	こんくりいと,コンクリート	[n.; us. kana] concrete
同じ	おなじ,おんなじ	[n./prenv.; n.] same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike // [adv.] (usu. part of a 'nara' conditional) anyway; anyhow; in either case
所	ところ,とこ	[n.; suffix] place; spot; scene; site // [us. kana] address // [us. kana] district; area; locality // [us. kana] one's house // [us. kana] point // [us. kana] part // [us. kana] space; room // [us. kana] thing; matter // [n.; us. kana] whereupon; as a result // [us. kana] about to; on the verge of // [us. kana] was just doing; was in the process of doing; have just done; just finished doing
所	しょ	[suffix; cnt.] counter for places
上	うえ	[n.; no-n.; advn.; sufn.] above; up; over; elder (e.g. daughter) // [n.] top; summit // [n.] surface; on // [n.] before; previous // [n.] superiority; one's superior (i.e. one's elder) // [n.] on top of that; besides; what's more // [n.] upon (further inspection, etc.); based on (and occurring after) // [n.] matters concerning...; as concerns ... // [n.] since (i.e. "for that reason") // [sufn.; sonkeigo] suffix indicating higher social standing // [arch.] place of one's superior (i.e. the throne) // [arch.] emperor; sovereign; shogun; daimyo // [arch.] noblewoman (esp. the wife of a nobleman)
立つ	たつ	[v5tsu.; vi.] to stand; to rise; to stand up // [n.] to find oneself (e.g. in a difficult position) // [n.] to depart (on a plane, train, etc.)
気	き	[n.] spirit; mind; heart // [n.] nature; disposition // [n.] motivation; intention // [n.] mood; feelings // [n.] ambience; atmosphere; mood
気をつける	きをつける	[phrase; v1.] to be careful; to pay attention; to take care
気をつけて	きをつけて	[phrase] take care; be careful
話す	はなす	[v5su.; vt.] to talk; to speak; to converse; to chat // [n.] to tell; to explain; to narrate; to mention; to describe; to discuss // [n.] to speak (a language)
前	まえ	[advn.; tempn.; suffix] ago; before (some event); previously; (minutes) to (the hour) // [n.] in front (of); before (e.g. the house) // [n.] head (of a line); front (e.g. of a bus); fore part // [n.] in the presence of // [n.] helping; portion // [n.] privates; private parts
ランドセル		[n.] firm-sided backpack made of leather, etc. (used by Japanese elementary schoolchildren, often red for girls and black for boys)
私	わたし,わたくし	[pron.; no-n.] I; me // [n.; no-n.] private affairs; personal matter; secrecy // [n.] selfishness
家族	かぞく	[n.; no-n.] family; members of a family
一緒に	いっしょに	[adv.] together (with); at the same time; in a lump
個	こ,コ	[cnt.] counter for articles // [n.] counter for military units // [n.] individual
プロレス		[n.; abbr.] professional wrestling
タイガー		[n.] tiger (feline, Panthera tigris)
名前	なまえ	[n.] name; full name // [n.] given name; first name
書く	かく	[v5ku.; vt.] to write; to compose; to pen // [n.] to draw; to paint
誰	だれ,たれ,た	[pron.; no-n.] who
夜	よる,よ	[advn.; tempn.] evening; night
来る	くる	[vkuru.; vi.] to come (spatially or temporally); to approach; to arrive // [vkuru.; vi.; auxv.] to come back; to do ... and come back // [n.] to come to be; to become; to get; to grow; to continue // [vkuru.; vi.] to come from; to be caused by; to derive from // [n.] to come to (i.e. "when it comes to spinach ...")
自分	じぶん	[pron.; no-n.] myself; yourself; oneself; himself; herself // [n.] I; me // [n.] you
言う	いう,ゆう	[v5u.] to say; to utter; to declare // [n.] to name; to call // [n.] to go (e.g. "the alarm went ping"); to make a noise
小さい	ちいさい	[adj.] small; little; tiny
持つ	もつ	[v5tsu.] to hold (in one's hand); to take; to carry // [n.] to possess; to have; to own // [n.] to maintain; to keep // [n.] to last; to be durable; to keep; to survive // [n.] to take charge of; to be in charge of
同じよう	おなじよう	[adjn..] similar
人	ひと,ヒト	[n.] man; person // [n.] human being; mankind; people // [us. kana] human (Homo sapiens); humans as a species // [n.] character; personality // [n.] man of talent; true man // [n.] another person; other people; others // [n.] adult
京都	きょうと	[n.] Kyoto
暖かい	あたたかい,あったかい	[adj.] warm; mild; genial
ストーブ		[n.] (room) heater; stove
列車	れっしゃ	[n.] train (ordinary)
乗る	のる	[v5ru.; vi.] to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark // [n.] to get on (e.g. a footstool); to step on; to jump on; to sit on; to mount // [n.] to reach; to go over; to pass // [n.] to follow; to stay (on track); to go with (the times, etc.) // [n.] to take part; to participate; to join // [n.] to get into the swing (and sing, dance, etc.) // [n.] to be deceived; to be taken in // [n.] to be carried; to be spread; to be scattered // [n.] to stick; to attach; to take; to go on
景色	けしき,けいしょく	[n.; no-n.] scenery; scene; landscape
トロッコ		[n.] rail car (esp. a small one used in mines, etc.); trolley
走る	はしる	[v5ru.; vi.] to run // [n.] to travel (movement of vehicles); to drive // [n.] to hurry to // [n.] to retreat (from battle); to take flight // [n.] to run away from home // [n.] to elope // [n.] to tend heavily toward // [n.] to flash; to streak; to shoot through (e.g. pain)
川	かわ,がわ	[n.] river; stream // [suffix] the .... river; (suffix used with the names of rivers)
谷	たに	[n.] valley
見る	みる	[v1.; vt.] to see; to look; to watch; to view; to observe // [n.] to look over; to look on; to assess; to examine; to judge // [us. kana] to look after; to keep an eye on; to take care of // [n.] to view (e.g. flowers, movie) // [auxv.; v1.; us. kana] to try; to try out; to test // [us. kana] to see that...; to find that...
観光客	かんこうきゃく	[n.] tourist
毎年	まいとし,まいねん	[tempn.] every year; yearly; annually
冬	ふゆ	[advn.; tempn.] winter
石炭	せきたん,いしずみ	[n.] coal
駅	えき	[n.] station
始める	はじめる	[v1.; vt.] to start; to begin; to commence; to initiate; to originate // [n.] to open (e.g. a store); to start up; to establish (business. etc.) // [auxv.; v1.] to start ...; to begin to ...
写真	しゃしん	[n.] photograph; photo; picture; snapshot; snap // [n.] movie
撮る	とる	[v5ru.; vt.] to take (a photo) // [n.] to record (video, audio, etc.); to make (a film)
寒い	さむい,さぶい	[adj.] cold (e.g. weather) // [n.] uninteresting (esp. joke); lame; dull; weak; corny
楽しみ	たのしみ	[adjn..; n.] enjoyment; pleasure; diversion; amusement; hobby // [n.] anticipation; looking forward to
インドネシア		[n.; us. kana] Indonesia
州	しゅう	[n.; sufn.] state; province; county; oblast; department (of ancient China) // [n.] continent // [suffix; arch.] dear
マグニチュード		[n.] magnitude
建物	たてもの	[n.] building
家	いえ	[n.] house; residence; dwelling // [n.] family; household // [n.] lineage; family name
店	みせ	[n.] store; shop; establishment; restaurant
兵士	へいし	[n.] soldier
使う	つかう	[v5u.; vt.] to use (a thing, method, etc.); to make use of; to put to use // [n.] to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate // [n.] to use (time, money, etc.); to spend; to consume // [n.] to use (language); to speak
足りない	たりない	[adj.] insufficient; not enough; lacking // [n.] dim-witted; slow; one brick short of a full load
手	て	[n.] hand; arm // [coll.] forepaw; foreleg // [n.] handle // [n.] hand; worker; help // [n.] trouble; care; effort // [n.] means; way; trick; move; technique; workmanship // [n.] hand; handwriting // [n.] kind; type; sort // [n.] one's hands; one's possession // [n.] ability to cope // [n.] hand (of cards) // [n.] direction // [n.; sufn.; cnt.] move (in go, shogi, etc.)
片づける	かたづける	[v1.; vt.] to tidy up; to put in order; to straighten up; to put away // [n.] to settle (problem); to clear (dispute) // [n.] to finish; to bring something to an end // [n.] to marry off (e.g. a daughter) // [n.] to do away with someone; to bump someone off
時間	じかん	[advn.; n.] time // [cnt.] hours (period of)
医者	いしゃ	[n.; sensitive] (medical) doctor; physician
亡くなる	なくなる	[v5ru.; vi.; us. kana] to be lost (e.g. luggage); to be missing // [us. kana] to be used up; to be run out; to be exhausted; to be consumed; to be reduced to zero; to not occur any more // [us. kana] to disappear (e.g. pain); to be lost (e.g. a dream, confidence)
看護	かんご	[n.; suru] nursing; (army) nurse
師	し	[n.] teacher; master; one's mentor // [n.; suffix] religious leader // [suffix] specialist // [n.; arch.] five-battalion brigade comprising 2500 men (Zhou-dynasty Chinese army)
看護師	かんごし	[n.] (hospital) nurse; registered nurse; RN
出す	だす	[v5su.; vt.] to take out; to get out // [n.] to put out; to reveal; to show // [n.] to submit (e.g. thesis); to turn in // [n.] to publish; to make public // [n.] to send (e.g. letter) // [n.] to produce (a sound); to start (fire) // [n.] to serve (food) // [suffix; v5su.] to begin ...; to start to ...; to burst into ...
今日	きょう,こんにち,こんち,こんじつ	[tempn.] today; this day // [n.] these days; recently; nowadays
ため息	ためいき	[n.] sigh
弾劾	だんがい	[n.; suru; no-n.] impeachment; accusation; censure; denunciation
職務	しょくむ	[n.] professional duties
停止	ていし,ちょうじ	[n.; suru] suspension; interruption; stoppage; ban; standstill; halt; hang-up; deadlock; stalemate; abeyance // [n.] suspension of music, dance, etc. as a sign of mourning for a prominent person
音楽	おんがく	[n.] music; musical movement
出来事	できごと,できこと	[n.] incident; affair; happening; event
事	こと,こん	[n.; us. kana] thing; matter // [us. kana] incident; occurrence; event; something serious; trouble; crisis // [us. kana] circumstances; situation; state of affairs // [us. kana] work; business; affair // [us. kana] after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to // [sufn.; us. kana] nominalizing suffix // [us. kana] pretending to ...; playing make-believe ... // [n.; sufn.; us. kana] alias; aka; nickname; alternative name; also known as
分かる	わかる	[v5ru.; vi.; us. kana] to understand; to comprehend; to grasp; to see; to get; to follow // [us. kana] to become clear; to be known; to be discovered; to be realized; to be realised; to be found out
達	たち	[suffix; us. kana] pluralizing suffix (esp. for people & animals; formerly honorific)
悲惨	ひさん	[adjn..] disastrous; tragic; miserable; wretched; pitiful; woeful
韓国	かんこく	[n.; no-n.; abbr.] South Korea; Republic of Korea // [abbr.] Korean Empire (1897-1910)
戦闘	せんとう	[n.; suru; no-n.] battle; fight; combat
国	くに	[n.] country; state // [n.] region // [n.] national government; central government // [n.] home (i.e. hometown, home country) // [arch.] province (of Japan) // [arch.] land; earth
ノーベル賞	ノーベルしょう	[n.] Nobel Prize
日	ひ	[advn.; tempn.] day; days // [n.] sun; sunshine; sunlight // [n.] case (esp. unfortunate); event
渡す	わたす	[v5su.; vt.] to ferry across (e.g. a river); to carry across; to traverse // [n.] to lay across; to build across // [n.] to hand over; to hand in; to pass; to give; to transfer
否定	ひてい	[n.; suru; no-n.] negation; denial; repudiation; disavowal // [n.] NOT operation
賛成	さんせい	[n.; suru; no-n.] approval; agreement; support; favour; favor
今	いま	[advn.; n.] now; the present time; just now; soon; immediately; (one) more
生理学	せいりがく	[n.] physiology
日本	にほん,にっぽん	[n.] Japan
リサイクル		[n.; suru] recycling
細胞	さいぼう,さいほう	[n.; no-n.] cell
働き	はたらき	[n.] work; labor; labour // [n.] achievement; performance; ability; talent // [n.] salary; income; earnings // [n.] action; activity; workings; function; operation; movement; motion // [n.] conjugation; inflection
文学	ぶんがく	[n.] literature
友達	ともだち	[n.] friend; companion
作る	つくる	[v5ru.; vt.] to make; to produce; to manufacture; to build; to construct // [n.] to prepare (food); to brew (alcohol) // [n.] to raise; to grow; to cultivate; to train // [n.] to till // [n.] to draw up (a document); to make out; to prepare; to write // [n.] to create (an artistic work, etc.); to compose // [n.] to coin (a phrase); to organize; to organise; to establish; to found // [n.] to have (a child) // [n.] to make up (one's face, etc.) // [n.] to fabricate (an excuse, etc.) // [n.] to form (a line, etc.) // [n.] to set (a record) // [n.] to commit (a sin, etc.)
歌	うた	[n.] song // [n.] classical Japanese poetry (esp. tanka) // [n.] modern poetry
歌う	うたう	[v5u.; vt.; vi.] to sing // [v5u.; vt.] to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem
宇宙船	うちゅうせん	[n.] space ship
打ち上げる	うちあげる	[v1.; vt.] to launch; to shoot up // [n.] (of waves) to dash; to wash up (ashore) // [n.] to finish (e.g. a theater run, sumo tournament); to close // [n.] to report (to boss, etc.)
午後	ごご	[advn.; tempn.] afternoon; p.m.
時	とき	[n.] time; hour; moment // [n.] occasion; case // [n.] chance; opportunity; season // [n.] the times; the age; the day // [n.] tense
分	ふん	[n.] minute // [n.] fun (one tenth of a monme, 5.787 grains)
鹿児島県	かごしまけん	[n.] Kagoshima prefecture (Kyushu)
国際	こくさい	[n.; no-n.] international
宇宙	うちゅう	[n.] universe; cosmos; space
国際宇宙ステーション	こくさいうちゅうステーション	[n.] International Space Station
宇宙ステーション	うちゅうステーション	[n.] space station
荷物	にもつ	[n.] luggage; baggage; package // [n.] burden // [n.] payload (of a packet, cell, etc.)
着く	つく	[v5ku.; vi.] to arrive at; to reach // [n.] to sit on; to sit at (e.g. the table)
製	せい	[n.; sufn.] -made; make
日本製	にほんせい	[n.] made in Japan
新しい	あたらしい	[adj.] new; novel; fresh; recent; latest; up-to-date; modern
電源	でんげん	[n.] source of electricity; electrical power // [n.] power (button on TV, etc.)
衛星	えいせい	[n.; no-n.] satellite
人工衛星	じんこうえいせい	[n.] man-made satellite
問題	もんだい	[n.] question (e.g. on a test); problem // [n.] problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter // [n.] question (i.e. doubt) // [n.] public discussion; controversy // [n.] trouble; problem; inconvenience; difficulty
麒麟	きりん	[n.; us. kana] giraffe (Giraffa camelopardalis) // [n.] qilin (Chinese unicorn) // [n.] Kirin (brand of beer) // [arch.] horse that can ride 1000 ri in a day
いなくなる		[phrase; v5ru.; us. kana] to disappear; to stop being; to leave
高い	たかい	[adj.] high; tall // [n.] expensive
動物	どうぶつ	[n.] animal
自然	しぜん	[adjn..; n.] nature; spontaneity // [adv.; to-adv.] naturally; spontaneously
大切	たいせつ,たいせち	[adjn..; n.] important; necessary; indispensable // [n.] beloved; precious; dear; cherished; valuable // [n.] careful
大切に	たいせつに	[adv.] carefully; with caution; with great care
活動	かつどう	[n.; suru] action; activity // [n.; abbr.; obsolete] movie (esp. during the silent movie period)
絶滅	ぜつめつ	[n.; suru; no-n.] destruction; extinction
危惧	きぐ	[n.; suru] apprehensions; misgivings; uneasiness; anxiety; fear
種	たね	[n.] seed (e.g. of a plant); pip; kind; variety; quality; tone // [n.] material (e.g. for an article); matter (e.g. of a story); subject; theme; (news) copy // [n.] ingredient; leaven (bread); main ingredient of a sushi // [n.] cause; source // [n.] trick; secret; magician's trick; inside story // [n.] paternal blood; lineage // [n.] breed (of a stock); sperm; semen
絶滅危惧種	ぜつめつきぐしゅ	[n.] endangered species
少ない	すくない	[adj.] few; a little; scarce; insufficient; seldom
森	もり	[n.] forest // [n.] shrine grove
木	き	[n.] tree; shrub; bush // [n.] wood; timber
切る	きる	[suffix; v5ru.; vt.] to cut; to cut through; to perform (surgery) // [n.] to sever (connections, ties) // [n.] to turn off (e.g. the light) // [n.] to terminate (e.g. a conversation); to hang up (the phone); to disconnect // [n.] to punch (a ticket); to tear off (a stub) // [n.] to open (something sealed) // [n.] to start // [n.] to set (a limit); to do (something) in less or within a certain time; to issue (stamps, vouchers, etc.) // [n.] to reduce; to decrease; to discount // [n.] to shake off (water, etc.); to let drip-dry; to let drain // [n.] to cross; to traverse // [n.] to criticize sharply // [n.] to act decisively; to do (something noticeable); to go first; to make (certain facial expressions, in kabuki) // [n.] to turn (a vehicle) // [n.] to curl (a ball); to bend; to cut // [n.] to shuffle (cards) // [n.] to dismiss; to sack; to let go; to expulse; to excommunicate // [n.] to dig (a groove); to cut (a stencil, on a mimeograph) // [n.] to trump // [n.] (in Go) to isolate (an opponent's stone) // [n.] to start a fire (with wood-wood friction or by striking a metal against stone) // [n.] to draw (a shape) in the air (with a sword, etc.) // [suffix; v5ru.] to finish; to complete
打ち上げる	ぶちあげる	[v1.; vt.] to make a bold speech; to make a bold statement
長い	ながい	[adj.] long (distance) // [n.] long (time); lengthy
雨	あめ	[n.] rain
降る	ふる	[v5ru.; vi.] to precipitate; to fall (e.g. rain)
食べる	たべる	[v1.; vt.] to eat // [n.] to live on (e.g. a salary); to live off; to subsist on
